"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-5310-ND","61304021121","CONN HEADER VERT 40POS 2.54","","1","0","1.89000","1.89"
"2","2","732-5317-ND","61300411121","CONN HEADER 4 POS 2.54","","2","0","0.18000","0.36"
"3","1","732-5319-ND","61300611121","CONN HEADER 6 POS 2.54","","1","0","0.33000","0.33"
"4","1","732-5295-ND","61300621121","CONN HEADER VERT DUAL 6POS 2.54","","1","0","0.54000","0.54"
"5","5","CF14JT330RCT-ND","CF14JT330R","RES 330 OHM 1/4W 5% AXIAL","","5","0","0.10000","0.50"
"6","4","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 1/4W 5% AXIAL","","4","0","0.10000","0.40"
"7","2","CF14JT100KCT-ND","CF14JT100K","RES 100K OHM 1/4W 5% AXIAL","","2","0","0.10000","0.20"
"8","2","CF14JT150RCT-ND","CF14JT150R","RES 150 OHM 1/4W 5% AXIAL","","2","0","0.10000","0.20"
"9","1","296-7138-5-ND","LF347N","IC OPAMP JFET 3MHZ 14DIP","","1","0","0.76000","0.76"
"10","4","732-12665-ND","960040010","ROUND PLASTIC SPACER L:4,0 MM","","4","0","0.23000","0.92"
"11","1","M3AAA-4006J-ND","M3AAA-4006J","IDC CABLE - MSC40A/MC40G/MSC40A","","1","0","4.29000","4.29"